SubType,Rent,Rooms,Area_m2,Zip,Lat,Lon,Floor,Year_Built,is_renovated,Balcony,Elevator,Parking,View,Fireplace,Child_Friendly,CableTV,New_Building,Minergie,Wheelchair
FLAT,1975.0,5.5,95.0,8625,47.305104899377,8.753271739286,1.0,1964.0,0,1,0,1,1,0,1,0,0,0,0
DUPLEX,1995.0,1.5,59.0,8330,47.368055898376,8.780751734281,0.0,2019.0,1,1,0,1,0,0,0,0,0,0,0
FLAT,1810.0,2.5,63.0,8903,47.350464899377,8.438561734284,2.0,1986.0,0,1,0,0,0,1,0,0,0,0,0
FLAT,1225.0,4.5,94.0,8627,47.281005890378,8.757261734283,0.0,1996.0,0,1,0,1,0,0,0,1,0,0,0
FLAT,1680.0,1.5,39.0,8041,47.340615898376,8.520811736285,5.0,2026.0,0,1,1,1,0,0,0,0,0,0,1
FLAT,1850.0,1.0,36.0,8048,47.385794895373,8.484931738285,3.0,2022.0,0,1,0,0,0,0,0,0,0,0,0
FLAT,1780.0,3.0,54.0,8052,47.423238895373,8.542121734285,3.0,1996.0,0,1,0,0,0,0,0,0,0,0,0
FLAT,1350.0,4.0,83.0,8708,47.248948894372,8.704111730287,0.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1800.0,1.5,36.0,8181,47.507014896374,8.509791735285,0.0,2025.0,0,1,1,1,0,0,1,0,0,0,0
FLAT,1825.0,2.0,54.0,8805,47.211824893371,8.692781730285,2.0,1983.0,0,1,1,0,1,1,0,0,0,0,0
FLAT,1790.0,4.0,74.0,8330,47.373654893379,8.782611734284,1.0,1996.0,0,1,0,0,1,0,0,0,0,0,0
FLAT,1590.0,2.5,56.0,8400,47.500586897375,8.743601738287,2.0,1996.0,0,1,1,0,0,0,0,0,0,0,0
FLAT,1995.0,3.5,70.0,8307,47.427924893379,8.692411734284,4.0,1969.0,1,0,1,0,0,0,0,1,0,0,0
FLAT,1580.0,1.0,29.0,8055,47.370294893371,8.512501735285,3.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1520.0,2.0,50.0,8610,47.355565897375,8.708071734285,5.0,1962.0,0,0,0,1,0,0,0,1,0,0,0
FLAT,1900.0,2.5,70.0,8307,47.423405897375,8.689841734282,2.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1635.0,3.0,68.0,8134,47.302793898376,8.528341734281,2.0,1968.0,1,1,0,0,0,0,0,0,0,0,0
FLAT,1650.0,3.0,71.0,8106,47.453839898376,8.457971733281,2.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1900.0,4.0,91.0,8637,47.265733898376,8.926691735281,0.0,1989.0,0,1,0,0,1,0,0,0,0,0,0
FLAT,1930.0,3.5,59.0,8400,47.494574898376,8.730901735281,1.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,900.0,1.0,16.0,8488,47.438068896374,8.846521730287,0.0,2008.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1399.0,1.5,39.0,8802,47.330434893371,8.538061734281,0.0,1955.0,1,1,0,1,0,0,0,1,0,0,0
FLAT,1300.0,2.0,48.0,8604,47.385849890378,8.668221734286,1.0,1986.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1530.0,1.0,34.0,8051,47.402484893379,8.583551738286,0.0,1953.0,1,0,0,0,0,0,0,0,0,0,0
